path	parent	name	id	synapseStore	contentType	used	executed	activityName	activityDescription
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100030_P28482.fam	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100030_P28482.fam	syn52473826	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100239_O75170.log	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100239_O75170.log	syn52473919	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.log	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.log	syn52473845	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100239_O75170.stdout	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100239_O75170.stdout	syn52473891	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100030_P28482.stderr	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100030_P28482.stderr	syn52473869	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100030_P28482.log	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100030_P28482.log	syn52473922	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.stdout	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.stdout	syn52473872	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.fam	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100201_Q92841.fam	syn52473811	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100030_P28482.stdout	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100030_P28482.stdout	syn52473889	True	application/octet-stream				
/mnt/vast/hpc/csg/rf2872/data/protocal_data/protocol_example.protein.enhanced_cis_chr21_chr22_genotype_by_region/protocol_example.genotype.chr21_22.ENSG00000100239_O75170.fam	syn52473735	protocol_example.genotype.chr21_22.ENSG00000100239_O75170.fam	syn52473859	True	application/octet-stream				
